date,close,open,high,low,volume,ticker,nearest_contract
2021-09-27,431.14,407.5,436.0,407.5,5466.0,V_2021,V_2021
2021-09-28,452.34,452.0,470.0,441.0,4258.0,V_2021,V_2021
2021-09-29,439.5,450.5,459.5,438.5,5214.0,V_2021,V_2021
2021-09-30,527.3199999999999,456.0,480.0,450.5,1996.0,V_2021,V_2021
2021-10-01,537.14,540.3,540.3,526.0,2320.0,X_2021,X_2021
2021-10-04,573.0,550.0799999999999,578.0,542.0,2980.0,X_2021,X_2021
2021-10-05,671.92,582.0,680.0,574.2,3936.0,X_2021,X_2021
2021-10-06,614.46,730.0,850.0,598.0,9714.0,X_2021,X_2021
2021-10-07,567.0,520.0,614.0,510.0,5066.0,X_2021,X_2021
2021-10-08,525.04,550.0,590.0,510.0,3414.0,X_2021,X_2021
2021-10-11,510.08,500.0,524.0,470.0,3328.0,X_2021,X_2021
2021-10-12,509.5,486.0,511.3,480.0,2846.0,X_2021,X_2021
2021-10-13,530.4,530.0,540.5,527.0,3596.0,X_2021,X_2021
2021-10-14,551.72,568.0,573.6,543.6,2550.0,X_2021,X_2021
2021-10-15,551.0,565.5,566.0,518.0,2150.0,X_2021,X_2021
2021-10-18,518.1800000000001,500.0,567.5,500.0,3206.0,X_2021,X_2021
2021-10-19,512.0,494.0,522.0,494.0,2260.0,X_2021,X_2021
2021-10-20,529.04,518.0,534.6,518.0,3486.0,X_2021,X_2021
2021-10-21,510.0,527.2,528.9,504.5,3458.0,X_2021,X_2021
2021-10-22,526.12,508.0,531.0,508.0,2424.0,X_2021,X_2021
2021-10-25,532.8399999999999,530.0,534.0,523.0,2760.0,X_2021,X_2021
2021-10-26,529.3,532.0,548.0,526.1,3468.0,X_2021,X_2021
2021-10-27,512.4200000000001,520.0,520.0,506.0,4398.0,X_2021,X_2021
2021-10-28,469.0,464.0,488.7,462.0,3112.0,X_2021,X_2021
2021-10-29,452.0,484.0,492.0,438.0,2554.0,X_2021,X_2021
2021-11-01,429.68,468.0,470.0,424.0,2160.0,Z_2021,Z_2021
2021-11-02,448.84,450.0,460.5,430.0,2592.0,Z_2021,Z_2021
2021-11-03,474.1,466.0,485.0,452.6,2318.0,Z_2021,Z_2021
2021-11-04,464.5,460.0,484.0,456.0,2558.0,Z_2021,Z_2021
2021-11-05,464.9,468.0,480.5,459.4,2324.0,Z_2021,Z_2021
2021-11-08,476.58,480.0,483.0,464.0,2352.0,Z_2021,Z_2021
2021-11-09,456.46,470.0,472.0,438.0,2998.0,Z_2021,Z_2021
2021-11-10,433.86,427.0,443.0,420.0,3358.0,Z_2021,Z_2021
2021-11-11,450.34,450.0,458.0,435.0,2172.0,Z_2021,Z_2021
2021-11-12,465.5,468.0,470.0,455.0,1966.0,Z_2021,Z_2021
2021-11-15,476.0,468.0,486.0,468.0,2492.0,Z_2021,Z_2021
2021-11-16,510.02,489.5,526.5,484.0,3774.0,Z_2021,Z_2021
2021-11-17,546.38,540.0,549.98,518.0,3050.0,Z_2021,Z_2021
2021-11-18,517.3199999999999,510.0,529.0,504.0,3194.0,Z_2021,Z_2021
2021-11-19,497.34,526.0,531.0,494.0,2282.0,Z_2021,Z_2021
2021-11-22,490.0,480.0,494.0,474.0,3260.0,Z_2021,Z_2021
2021-11-23,510.0,475.0,510.0,470.0,2942.0,Z_2021,Z_2021
2021-11-24,523.24,513.0,528.5,501.0,4094.0,Z_2021,Z_2021
2021-11-25,526.6,516.0,516.0,500.0,3084.0,Z_2021,Z_2021
2021-11-26,504.62,516.0,516.0,500.0,3084.0,Z_2021,Z_2021
2021-11-29,552.02,540.0,566.0,540.0,2380.0,Z_2021,Z_2021
2021-11-30,626.8199999999999,630.0,632.0,586.0,2398.0,Z_2021,Z_2021
2021-12-01,622.26,624.0,628.5,615.0,710.0,F_2022,F_2022
2021-12-02,619.1800000000001,614.8199999999999,630.0,597.0,1222.0,F_2022,F_2022
2021-12-03,626.6800000000001,621.0,631.0,618.0,982.0,F_2022,F_2022
2021-12-06,618.0,609.98,621.5,609.98,1044.0,F_2022,F_2022
2021-12-07,635.46,632.0,647.0,632.0,1630.0,F_2022,F_2022
2021-12-08,674.52,656.0,675.0,656.0,1556.0,F_2022,F_2022
2021-12-09,654.06,660.0,666.24,634.0,2908.0,F_2022,F_2022
2021-12-10,662.0,654.0,673.0,648.2,1576.0,F_2022,F_2022
2021-12-13,727.38,720.0,736.0,715.0,948.0,F_2022,F_2022
2021-12-14,740.8,730.0,760.0,720.0,2040.0,F_2022,F_2022
2021-12-15,761.38,759.0,774.0,739.6,1700.0,F_2022,F_2022
2021-12-16,963.56,850.0,980.0,810.0,2842.0,F_2022,F_2022
2021-12-17,904.76,870.0,934.0,830.0,1930.0,F_2022,F_2022
2021-12-20,920.2,892.0,924.6,884.0,1192.0,F_2022,F_2022
2021-12-21,1017.46,948.0,1030.0,948.0,1402.0,F_2022,F_2022
